DATE,USPHCI
1989-07-01,62.44
1989-08-01,62.54
1989-09-01,62.67
1989-10-01,62.80
1989-11-01,62.95
1989-12-01,63.07
1990-01-01,63.27
1990-02-01,63.48
1990-03-01,63.67
1990-04-01,63.74
1990-05-01,63.90
1990-06-01,64.06
1990-07-01,64.07
1990-08-01,64.06
1990-09-01,64.06
1990-10-01,64.10
1990-11-01,64.04
1990-12-01,64.04
1991-01-01,64.04
1991-02-01,63.95
1991-03-01,63.89
1991-04-01,63.90
1991-05-01,63.88
1991-06-01,63.97
1991-07-01,64.06
1991-08-01,64.11
1991-09-01,64.21
1991-10-01,64.28
1991-11-01,64.34
1991-12-01,64.35
1992-01-01,64.46
1992-02-01,64.50
1992-03-01,64.63
1992-04-01,64.77
1992-05-01,64.86
1992-06-01,64.95
1992-07-01,65.11
1992-08-01,65.27
1992-09-01,65.37
1992-10-01,65.61
1992-11-01,65.71
1992-12-01,65.90
1993-01-01,66.13
1993-02-01,66.38
1993-03-01,66.48
1993-04-01,66.64
1993-05-01,66.83
1993-06-01,67.04
1993-07-01,67.27
1993-08-01,67.47
1993-09-01,67.68
1993-10-01,67.84
1993-11-01,68.13
1993-12-01,68.38
1994-01-01,68.57
1994-02-01,68.78
1994-03-01,69.08
1994-04-01,69.35
1994-05-01,69.67
1994-06-01,69.91
1994-07-01,70.17
1994-08-01,70.44
1994-09-01,70.70
1994-10-01,70.93
1994-11-01,71.26
1994-12-01,71.52
1995-01-01,71.73
1995-02-01,71.99
1995-03-01,72.18
1995-04-01,72.24
1995-05-01,72.42
1995-06-01,72.59
1995-07-01,72.71
1995-08-01,72.91
1995-09-01,73.15
1995-10-01,73.34
1995-11-01,73.48
1995-12-01,73.67
1996-01-01,73.76
1996-02-01,74.05
1996-03-01,74.26
1996-04-01,74.43
1996-05-01,74.68
1996-06-01,75.03
1996-07-01,75.18
1996-08-01,75.51
1996-09-01,75.67
1996-10-01,75.89
1996-11-01,76.06
1996-12-01,76.27
1997-01-01,76.53
1997-02-01,76.79
1997-03-01,77.05
1997-04-01,77.34
1997-05-01,77.63
1997-06-01,77.83
1997-07-01,78.11
1997-08-01,78.27
1997-09-01,78.56
1997-10-01,78.90
1997-11-01,79.17
1997-12-01,79.42
1998-01-01,79.71
1998-02-01,79.91
1998-03-01,80.09
1998-04-01,80.47
1998-05-01,80.69
1998-06-01,80.92
1998-07-01,81.12
1998-08-01,81.37
1998-09-01,81.57
1998-10-01,81.83
1998-11-01,82.10
1998-12-01,82.38
1999-01-01,82.61
1999-02-01,82.86
1999-03-01,83.15
1999-04-01,83.38
1999-05-01,83.66
1999-06-01,83.86
1999-07-01,84.13
1999-08-01,84.37
1999-09-01,84.59
1999-10-01,84.90
1999-11-01,85.14
1999-12-01,85.46
2000-01-01,85.69
2000-02-01,85.88
2000-03-01,86.27
2000-04-01,86.59
2000-05-01,86.76
2000-06-01,86.91
2000-07-01,87.12
2000-08-01,87.22
2000-09-01,87.46
2000-10-01,87.58
2000-11-01,87.78
2000-12-01,87.94
2001-01-01,87.95
2001-02-01,88.09
2001-03-01,88.17
2001-04-01,88.17
2001-05-01,88.31
2001-06-01,88.27
2001-07-01,88.29
2001-08-01,88.24
2001-09-01,88.22
2001-10-01,88.08
2001-11-01,87.99
2001-12-01,87.95
2002-01-01,88.00
2002-02-01,88.03
2002-03-01,88.12
2002-04-01,88.12
2002-05-01,88.27
2002-06-01,88.39
2002-07-01,88.47
2002-08-01,88.59
2002-09-01,88.66
2002-10-01,88.81
2002-11-01,88.84
2002-12-01,88.86
2003-01-01,89.09
2003-02-01,89.08
2003-03-01,89.09
2003-04-01,89.12
2003-05-01,89.18
2003-06-01,89.24
2003-07-01,89.41
2003-08-01,89.54
2003-09-01,89.68
2003-10-01,89.94
2003-11-01,90.16
2003-12-01,90.38
2004-01-01,90.58
2004-02-01,90.79
2004-03-01,90.97
2004-04-01,91.27
2004-05-01,91.51
2004-06-01,91.71
2004-07-01,91.93
2004-08-01,92.13
2004-09-01,92.34
2004-10-01,92.57
2004-11-01,92.78
2004-12-01,92.96
2005-01-01,93.19
2005-02-01,93.38
2005-03-01,93.64
2005-04-01,93.89
2005-05-01,94.14
2005-06-01,94.41
2005-07-01,94.68
2005-08-01,94.95
2005-09-01,95.11
2005-10-01,95.33
2005-11-01,95.62
2005-12-01,95.88
2006-01-01,96.21
2006-02-01,96.45
2006-03-01,96.80
2006-04-01,97.06
2006-05-01,97.30
2006-06-01,97.48
2006-07-01,97.66
2006-08-01,97.88
2006-09-01,98.14
2006-10-01,98.31
2006-11-01,98.49
2006-12-01,98.78
2007-01-01,98.97
2007-02-01,99.21
2007-03-01,99.51
2007-04-01,99.67
2007-05-01,99.94
2007-06-01,100.00
2007-07-01,100.11
2007-08-01,100.28
2007-09-01,100.38
2007-10-01,100.53
2007-11-01,100.69
2007-12-01,100.72
2008-01-01,100.87
2008-02-01,101.02
2008-03-01,101.02
2008-04-01,101.12
2008-05-01,100.99
2008-06-01,100.94
2008-07-01,100.88
2008-08-01,100.75
2008-09-01,100.64
2008-10-01,100.34
2008-11-01,100.00
2008-12-01,99.60
2009-01-01,99.15
2009-02-01,98.72
2009-03-01,98.19
2009-04-01,97.78
2009-05-01,97.50
2009-06-01,97.31
2009-07-01,97.21
2009-08-01,97.15
2009-09-01,97.04
2009-10-01,96.98
2009-11-01,97.13
2009-12-01,97.14
2010-01-01,97.29
2010-02-01,97.37
2010-03-01,97.50
2010-04-01,97.73
2010-05-01,98.19
2010-06-01,98.39
2010-07-01,98.53
2010-08-01,98.64
2010-09-01,98.77
2010-10-01,99.05
2010-11-01,99.10
2010-12-01,99.51
2011-01-01,99.70
2011-02-01,99.96
2011-03-01,100.20
2011-04-01,100.46
2011-05-01,100.71
2011-06-01,100.91
2011-07-01,101.12
2011-08-01,101.33
2011-09-01,101.58
2011-10-01,101.91
2011-11-01,102.21
2011-12-01,102.45
2012-01-01,102.82
2012-02-01,103.08
2012-03-01,103.44
2012-04-01,103.65
2012-05-01,103.89
2012-06-01,104.07
2012-07-01,104.30
2012-08-01,104.57
2012-09-01,104.90
2012-10-01,105.10
2012-11-01,105.36
2012-12-01,105.56
2013-01-01,105.82
2013-02-01,106.25
2013-03-01,106.54
2013-04-01,106.74
2013-05-01,107.04
2013-06-01,107.29
2013-07-01,107.61
2013-08-01,107.92
2013-09-01,108.15
2013-10-01,108.40
2013-11-01,108.81
2013-12-01,109.07
2014-01-01,109.35
2014-02-01,109.51
2014-03-01,109.85
2014-04-01,110.40
2014-05-01,110.59
2014-06-01,111.03
2014-07-01,111.27
2014-08-01,111.59
2014-09-01,111.99
2014-10-01,112.37
2014-11-01,112.62
2014-12-01,113.06
2015-01-01,113.29
2015-02-01,113.69
2015-03-01,113.97
2015-04-01,114.30
2015-05-01,114.54
2015-06-01,114.95
2015-07-01,115.28
2015-08-01,115.56
2015-09-01,115.87
2015-10-01,116.18
2015-11-01,116.42
2015-12-01,116.79
2016-01-01,117.12
2016-02-01,117.36
2016-03-01,117.61
2016-04-01,117.84
2016-05-01,118.21
2016-06-01,118.42
2016-07-01,118.79
2016-08-01,119.01
2016-09-01,119.28
2016-10-01,119.59
2016-11-01,119.94
2016-12-01,120.19
2017-01-01,120.46
2017-02-01,120.81
2017-03-01,121.15
2017-04-01,121.41
2017-05-01,121.72
2017-06-01,122.07
2017-07-01,122.35
2017-08-01,122.55
2017-09-01,122.86
2017-10-01,123.15
2017-11-01,123.44
2017-12-01,123.76
2018-01-01,124.06
2018-02-01,124.40
2018-03-01,124.77
2018-04-01,125.03
2018-05-01,125.48
2018-06-01,125.66
2018-07-01,126.01
2018-08-01,126.31
2018-09-01,126.61
2018-10-01,126.82
2018-11-01,127.05
2018-12-01,127.27
2019-01-01,127.56
2019-02-01,127.83
2019-03-01,128.12
2019-04-01,128.54
2019-05-01,128.82
2019-06-01,129.08
2019-07-01,129.27
2019-08-01,129.58
2019-09-01,129.92
2019-10-01,130.09
2019-11-01,130.37
2019-12-01,130.64
2020-01-01,130.95
2020-02-01,131.27
2020-03-01,130.34
2020-04-01,116.01
2020-05-01,118.24
2020-06-01,120.22
2020-07-01,120.84
2020-08-01,122.52
2020-09-01,123.47
2020-10-01,124.57
2020-11-01,125.01
2020-12-01,125.24
2021-01-01,125.86
2021-02-01,126.43
2021-03-01,127.10
2021-04-01,127.51
2021-05-01,128.14
2021-06-01,128.71
2021-07-01,129.69
2021-08-01,130.32
2021-09-01,131.02
2021-10-01,131.77
2021-11-01,132.54
2021-12-01,133.19
2022-01-01,133.52
2022-02-01,134.33
2022-03-01,134.91
2022-04-01,135.23
2022-05-01,135.62
2022-06-01,136.03
2022-07-01,136.60
2022-08-01,136.89
2022-09-01,137.33
2022-10-01,137.70
2022-11-01,138.07
2022-12-01,138.39
2023-01-01,138.88
2023-02-01,139.12
2023-03-01,139.49
2023-04-01,139.89
2023-05-01,140.10
2023-06-01,140.54
2023-07-01,140.92
2023-08-01,141.06
2023-09-01,141.45
2023-10-01,141.74
2023-11-01,142.12
2023-12-01,142.44
2024-01-01,142.78
2024-02-01,143.02
2024-03-01,143.51
2024-04-01,143.77
2024-05-01,144.09
2024-06-01,144.36
2024-07-01,144.56
2024-08-01,144.88
2024-09-01,145.17
2024-10-01,145.35
